CSY word (Lat. orth.)	CSY word (Cyr. orth.)	Eng. gloss 1	Russ. gloss 1	ex'ples, etym, etc.	Eng. gloss 2	Eng. gloss 3	Russ. gloss 2	Russ. gloss 3	CSY word (Cyr.) num. eq.	Russ. gloss 1 num. eq.	Russ. gloss 2 num. eq.	Russ. gloss 3 num. eq.	queries, etc.	Eng. gloss 4	Russ. gloss 4	Russ. gloss 4 num. eq.	combined English gloss	combined Russian gloss	PE (PY) source	symantic code	Sib. source code	derived forms	postbase head form	postbase alphabetization form	alphabetization field B	CSY word (Cyrillic)
~+aghtagh-	-f5nf4-	repeatedly V with back and forth movement		pangalgaghtaghtuq ‘it ran back and forth’ (from pangaleg- ‘to run on four legs’); mamlegaghtaghtuq ‘it cast shadows’ (from mamleg- ‘to be dark’); qepghaghaghtaghtuq ‘he worked very busily’ (from qepghagh- ‘to work’); talughaghtaghtuq ‘it moved in and out of sight’ (from talugh- ‘to move out of sight’)	back and forth repeatedly V												to V repeatedly with back and forth movement		pb PE a3-				~+aghtagh-	aghtagh	aghtagh	-аҳтаӷ-
~+aghte-	-f5ns-	suddenly V		aavgaghtuq ‘it suddenly split’ (from aveg- ‘to split’); neghyugaghtuq ‘he suddenly wanted to eat’ (from neghyug- ‘to want to eat’); allngughaghtuq ‘it suddenly dove’ (from allngugh- ‘to dive’); mayughaghtuq ‘it suddenly rose’ (from mayugh- ‘to go up’); cf. -qaghte-													to suddenly V		pb PY -a3a3t0-				~+aghte-	aghte	aghte	-аҳты-
~+aghtugh-	-f5ne4-	repeatedly V		marginally productive or non-productive; iighaghtughtuq ‘he hid from his enemies’ (from iigh- ‘to hide’); iniightughtuq ‘he is hanging things’ (from ini- ‘to hang to dry’); payangitaghtughtuq ‘the Chukotkans are repeatedly visiting’ (from payangite- ‘for Chukotkans to visit’); peggaghtughtuq ‘he stayed up late’ (from pegge- ‘to stay awake all night’)													to V repeatedly						~+aghtugh-	aghtugh	aghtugh	-аҳтуӷ-
?aq	-f2	one that has been V-ed		marginally productive if not non-productive; tuqutaq ‘a killed thing’ (from tuqute- ‘to kill’); ulimaaq ‘made thing, ivory carving, product’ (from ulima- ‘to make’); aantat ‘dump, midden’ (from aante- ‘to put out(side))’; qiipaq ‘sewing thread’ (from qiipe- ‘to twist’); uumgaq ‘small box’ (from umeg- ‘to close’); cf. -kaq1													one that has been V-ed		pb PE 9a3				?aq	aq	aq	-ақ
-aqe-				see ~+(g)aqe-													to be currently V-ing; to V now and then (with the subordinative); to always V (with particle quunpeng)						~+(g)aqe-	aqe	aqe	
~+aatagh-	-6nf4-	repeatedly and persistently V several times		apparently not used with bases that end in a full vowel; iitghaataghtuq ‘it penetrated, went on into something’ (from itegh- ‘to enter’); kaataaghaghtuq ‘it got through (of sound, smell, news)’ (from kaate- ‘to arrive’); Taakut ilagaatet atughaataghaqiit, … ‘They’d sing these songs over and over again, …’ (from atugh- ‘to sing’) (SIVUQ. NANGAGH. 1:236) 	persistently V several times	finally V											to V finally or repeatedly and persistently, several times		pb PE 3ata3-				~+aatagh-	atagh	xtagh	-āтаӷ-
~+(at)aghagh-	-øfnπf4f4-	more V		the at used with all bases except those that end in te; umaataghaghtuq ‘it is thicker’ (from umu- ‘to be thick’); taakataghaghtuq ‘it is longer’ (from taake- ‘to be long’); aangataghaghtuq ‘it is bigger’ (from aange- ‘to be big’); pinighataghaghtuq ‘it is better’ (from pinigh- ‘to be good’); uglaghataghaghtut ‘they are more numerous’ (from uglagh- ‘to be many’); sukataghaghtuq ‘it is faster’ (from sukate- ‘to go or be fast’); nighughaghaghtuq ‘it got brighter’ (from nighughte- ‘to get bright’); akingitaghaghtuq ‘it is cheaper’ (from akingite- ‘to be cheap’; used with a noun in the ablative-modalis case to make comparisons: mangteghaqa aangataghaghtuq manghteghaghpeneng ‘my house is bigger than your house’; una pinighataghaghtuq taameng ‘this is better than that’													to be V-er; to V more; to be more V						~+(at)aghagh-	ataghagh	ataghagh	-(ат)аӷаӷ-
+aate-	-6ns-	together (V ~ in one movement)		probably non-productive; ateghaatut ‘they went down together’; (from ategh- ‘to go down’); iighaatut ‘they are playing hide and seek’ (lexicalized from iigh- ‘to hide’); mayughaatut ‘they climbed together’ (from mayugh- ‘to go up, climb’); qateghaatut ‘they jumped as a group’ (from qategh- ‘to jump’)	group (V as a ~ in one movement)												to V together, as a group, in one movement 						+aate-	ate	xte	-āты-
?ate-	-fns-	lack N		non-productive variant of  ~:(ng)ite- (q.v.); kayaatuq ‘he is weak’ (from kayu- ‘to be strong’)													to lack N						?ate-	ate	ate	-аты-
																	E							e	e	
%(e)nkuk / %(e)nkut	-øsπyrer - -øsπyren	partner (N and ~)		concerning the dual form, -(e)nkuk: generally used on both nouns of a pair (the second of which may also have the enclitic -llu);  meteghllugenkut amaankutlu ‘the raven and the wolf’ (from meteghlluk ‘raven’ and amaa ‘wolf’) yuggaankuk mayeraaghpagenkuklu ‘the little man and the giant’ (from yuggaq* ‘little man’ and mayeraaghpak ‘giant’); Taanata ungipaghaq tawatelnguq, Kiyaghneghenkuk Satan-enkuk. ‘That’s the story. God and Satan.’ (from Kiyaghneq ‘God’) (SIVUQ. NANGAGH. 2:252); Taana Tutmatelek Aqulagenkuk Qaaqwaankuk avaqutaqaak. ‘That Tutmatelek is the son of Aqulak and Qaaqwaq.’ (SIVUQ. NANGAGH. 3:10); however, if the postbase -lghiik is used, the present postbase need not occur on two nouns: Kiyaghsimalghiik yugenkuk nulighqullghiik. ‘There lived a man and wife.’ (UNGIPAGHAGH. 113); concerning the plural form, -(e)nkut: Patankut esghapagiit. ‘Pata and his friends watched.’ (PIYAA. 13); Pangeghtellemnni tawani Muumetaankut taglaataqngamteki tespamavek Ungazimun. ‘When we went to Chukotka at that time we took back Muumetaq and associates there to New Chaplino.’ (PANGEGH. 1)	associate(s) (N and ~)	family (N and ~)											N and partner; N and associate(s); N and family		pb PE nkuk				%(e)nkuk / %(e)nkut	enkuk	enkuk	-(ы)нкук - -(ы)нкут
~sf:(e)sqe-	-øsπc2s-	ask one to V		this is a “compound verbal” postbase; tagisqaa ‘he asked him to come’ (from tagi- ‘to come over’); laalightesqaa ‘he asked him to visit’ (from laalighte- ‘to visit’); iitghesqaa ‘he asked him to come in’ (from itegh- ‘to come in’); aghveliighesqaa ‘he asked him to cook whale’ (from aghveliigh- ‘to cook whale’); pumsugesqaa ‘hed asked someone to pinch it’ (from pumsug- ‘to pinch’); keniisqaa ‘he asks someone to point at it’ (from kenigh- ‘to point’, via *kenighesqaa); if intervocalic gh is deleted due to this postbase, the result is always ii and never aa or uu: qaviisqaa ‘he asked him to sleep’ (from qavagh- ‘to sleep’, via *qavaghesqaa); mayiisqaa ‘he asked him to go up’ (from mayugh- ‘to go up’, via *mayughesqaa); Uka qamuullghiit nemeng esghaneghmegteki … siivanlleghet kayagtaqiit mekelghiighet paayghisqelluki, … 'Whenever they saw from the house those pulling sleds coming in, the elders would urge the boys (telling them) to go meet and help them, …' (from paayghi- 'to go meet and help someone coming') (SIVUQ. NANGAGH. 1:130)	tell one to V												to ask one to V; to tell one to V		pb PE -9q0-				~sf:(e)sqe-	esqe	esqe	-(ы)сқы-
																	F							f	f	
?fkagh-	-arf4-	cause one to V		non-productive; tuqufkaghtuq ‘he knocked himself out’, tuqufkaghaa ‘he knocked him out’ (from tuqu- ‘to die’); ukifkaghaa ‘he punctured it’ (from uki- ‘to get a hole’)													to cause one to V		PE -vka3- ‘cause or let’				?fkagh-	fkagh	fkagh	-фкаӷ-
–fqagh-/–fqaa-	-a2f4- - -a26-	without V-ing		used with what are essentially possessed relative endings in place of -gpe- and the subordinative with -na- (rather than -lu-) to mean ‘not V-ing’ or ‘without V-ing’; qavafqaami ‘without sleeping’ (from qavagh- ‘to sleep’); also constitutes a negative optative, with ending agreeing with subject for intransitive, and object for transitive; neghefqaavek ‘don't eat!’; neghefqaan don't eat it!’; neghefqiita ‘don't eat them!’ (from negh<e>- ‘to eat’ via *neghefqaghan and *neghefqaghita); kenifqaama ‘don't point at me!’ (from kenigh- ‘to point at’)	don’t V												without V-ing; don't V		pb PY-S v0(k0)-				–fqagh-/–fqaa-	fqagh	fqagh	-фқаӷ- - -фқā-
+fte-/+pete-	-ans- - -gsns-	evidently V or have V-ed		indicates that the speaker did not actually directly observe what he is reporting (thus the English word ‘evidently’ might be too strong a translation); the form -fte- is used with vowel-ending bases, and the form -pete- is used with consonant ending bases (in the variant, (pete) is used with consonant-ending bases); panikeftan ‘evidently she is your daughter’ (from panike- ‘to have as one's daughter’); utaqiigaqeftuq ‘evidently she is waiting for someone’ (from utaqiigaqe- ‘to be waiting for someone’); iyataghpetuq (or iyataghpeteftuq) ‘evidently he is hungry’ (from iyatagh- ‘to be hungry’); maqallaghllaguftuq ‘it turned out to have a lot of algae’ (from maqallghllak ‘(one having) lots of algae’) Taawa neqekranglaghvilguftut. Tanemlleqa tawani neqekrangllaghvigitnun gaaghviguftuq. ‘Evidently they had a bakery. And evidently it was a place to “cook” their bread.’ (SIVUQ. NANGAGH. 2:214); may be used with the verb of a "because" clause headed by the particle qayughllak ‘because’, when what the main clause says is the primary evidence for that which is indicated by the "because" clause: ingaghtuq qayughllak qavaghniftuq ‘he lay down because (evidently) he was sleepy’; a variant is +(pete)fte-: iteghpeteftuq ‘evidentally he went in’ (variant of iteghpetuq) (from itegh- ‘to go’)													to evidently V or have V-ed; to turn out to (be) V						+fte-/+pete-	fte	fte	-фты- - -пыты-
																	G							g	g	
-gaq*				see –ghaq*													young N; baby N; little N; one like N						–ghaq*	gaq	gaq	
~+(g)aqe-	-øuπf2s-	currently V-ing (be ~)		yields a kind of “imperfective”  indicating repeated or ongoing action; this is in contrast to the form without this postbase which implies a “past perfective”; examples: qiyaaquq ‘he cries (repeatedly, now and then, or whenever certain conditions are present)’ or ‘he is crying (at the present time)’ (vs. qiyaaq ‘he cried’) (from qiya- ‘to cry’); neghaqaa ‘he eats it’ or ‘he is eating it’ (vs. neghaa ‘he ate it’) (from negh<e>- ‘to eat’); kaataquq ‘he arrives’ or ‘he is at this time  arriving’ (vs. kaatuq ‘he arrived’) (from kaate- ‘to arrive’); laalightaqaa ‘he visits her’ or ‘he is visiting her’ (vs. laalightaa ‘he visited her’) (from laalighte- ‘to visit’); qavaghaquq ‘he sleeps’ or ‘he is sleeping’ (vs. qavaghtuq ‘he slept’) (from qavagh- ‘to sleep’); aatghaquq ‘he goes down’ or ‘he is in the act of going down’ (vs. ateghtuq ‘he went down’) (from ategh- ‘to go down’); neghyugaquq ‘he wants to eat’ (vs. neghyugtuq ‘he wanted to eat’) (from neghyug- ‘to want to eat’); nenglaghaquq ‘he laughs’ or ‘he is laughing’ (vs. nenglaghtuq ‘he laughed’); nenglaghaqluni ‘laughing now and then’; quunpeng nenglaghaquq ‘he always laughs’ (from nenglagh- ‘to laugh’); tagineghmini maavek iyataghaquq ‘whenever he comes here he is (regularly) hungry’; the g of this postbase is used only with bases ending in two vowels:  aviigaquq ‘his ears ring (or are ringing)’ (from avii- ‘to have ringing ears’); see also the postbase -(ng)igate- the negative of this postbase	now and then V	always V											to be currently V-ing; to V now and then (with the subordinative); to always V (with particle quunpeng)		pb PE 9a3- and 9aq0-				~+(g)aqe-	gaqe	gaqe	-(г)ақы-
~sf–gga-/~sf–ghha-	-[6- - -56-	command former		forms commands, requests, etc. directed toward the future; takes intransitive participial endings and yields forms having a future optative meaning; the form with gg is used with g-ending bases: ukiggaaten ‘(you) go down (in the future)’(from ukig- ‘to go down’); the form with ghh is used with gh-ending bases; qavaghhaaten ‘(you) sleep (fut.)’(from qavagh- ‘to sleep’); iitghaaten ‘(you) come in (fut.)’(from itegh- ‘to come in’); aglaghhaakut ‘let’s go home (fut.)’(from aglagh- ‘to go home’);with first person singular ending aa becomes ii: aglaghhiinga ‘I should go home’(fut.)’; with vowel-ending bases the postbase -lghaa- (q.v.) is used instead; for transitives the postbase -na-1 (q.v.) is used instead	request former												command or request former						~sf–gga-/~sf–ghha-	gga	gga	-хā- - -ҳā-
-ggalek				see ~sf–ghhalek													how V it is!; how much N it has!						~sf–ghhalek	ggalek	ggalek	
-ggaq*				see –ghhaq*													little N; small N; bit of N						–ghhaq*	ggaq	ggaq	
–ghaq*	-4f2	young N		non-productive; forms with this postbase are generally lexicalized; aghnaghaq ‘girl’ (from aghnaq ‘woman’); kaviighaq ‘young fox’ (from kaviiq ‘fox’); qikmighaq ‘puppy’ (from qikmiq ‘dog’); afsengaghaq ‘baby mouse’ (from afsengaq ‘mouse’); naayvaghaq ‘little lake’ (from naayvaq ‘lake’); kiiwaq ‘little river; creek’ (from kiikw ‘river’); itegaq ‘foot’ (from itek ‘toe cap of boot’); amighaq ‘skin prepared for a boat’ (from amiq ‘skin’); ateghaq ‘alternate name’ (from ateq ‘name’); manughaq ‘front of house’ (from manu ‘front’); qesighaq ‘mist’ (from qesiq ‘spittle’); qiipaghaq ‘cloth; cloth cover parka’ (from qiipaq ‘thread’); possibly also, ighneghaq ‘intestine’ (from ighneq ‘son’, though the semantic connection is not clear) 	baby N	little N								one like N			young N; baby N; little N; one like N		pb PE a3				–ghaq*	ghaq	ghaq	-ӷақ
-ghha-				see ~sf–gga-/~sf–ghha-													command or request former						~sf–gga-/~sf–ghha-	ghha	ghha	
~sf–ghhalek	-5fksr	how V it is!		forms exclamations (and therefore erhaps better classified as a “minor “mood marker than a postbase); igamsiqanaghhalek ‘thank you’, literally, ‘how it causes one to be thankful!’ (from igamsiqanagh- ‘to cause one to be thankful’); seghleghhalek paradoxically, ‘how wonderful!’ (from seghleq ‘bad thing’); sukaghhalek ‘how fast!’ (from root suka- ‘speed’); sungaghaghhalek ‘how rosy-cheeked!’ (from sugagha ‘redness in the cheeks’); pinighhalek ‘how good!, how nice!’ (from pinigh- ‘to be good, nice’); iipghalek ‘how sharp!’ (from ipeg- ‘to be sharp’); sullevneghhalek ‘so inconsiderate!’ (from sullevneq ‘inconsiderate person’)	how much N it has!												how V it is!; how much N it has!		< ghhaq-lek (?)				~sf–ghhalek	ghhalek	ghhalek	-ҳалык
–ghhaq*	-5f2	little N		used (only?) with consonant-ending bases; with vowel-ending bases -ngiighhaq (q.v.) is usually used instead; aghnaghhaq ‘little woman’ (from aghnaq ‘woman’); qikmiq ‘dog’ qikmighhaq ‘little dog’ (from qikmiq ‘dog’); kiiwhaq ‘little river’ (from kiikw ‘river’); meghhaq ‘small area of open water in ice field’ (from meq ‘water’)              	small N	bit of N											little N; small N; bit of N		pb PE 3a3 and a3a3				–ghhaq*	ghhaq	ghhaq	-ҳақ
-ghi-				see ?(gh/l)i-													become V						?(gh/l)i-	ghi	ghi	
?(gh/l)i-	-ø4-kπb-	become V		non-productive; attachment pattern not entirely predictable; used with adjectival bases; examples: takelliiq ‘it got shorter’ (lexicalized; paradoxically from the root take- as in taake- ‘to be long ‘, but note also takestaaghhaq, 'short thing'); angliiq ‘he grew’ (from the root ange- as in aange- ‘to be big’); pinighiiq ‘it got better’ (from pinigh- ‘to be good’); metughiiq ‘it grew louder’ (from metu- ‘to be loud’ ); teggiiq 'it hardened, stiffened' (from root tegge- 'hard'); sukaghiiq ‘he/it has become fast’ (from root suka- as in sukatuq ‘he/it is fast’ and sukaghhalek ‘so fast!)													become V		pb PE li-2				?(gh/l)i-	ghli	ghli	-(ӷ-л)и-
–ghllag-	-5k]fu-	big way (V or be V in a ~)		qavaghllaghtuq ‘he's sleeping deeply or for a long time’ (from qavagh- ‘to sleep’); aangeghllagtuq ‘it is very big’; Pakinegyaghtuq, meghmun nagneghllagtuq ima! ‘In vain did he dig in his claws, but he plunged right on toward the water there!’ (from nagnegh- ‘to  move on despite obstacles’) (AYUM. UNGIP. I:7)	long time (V for a ~)												to V or be V in a big way; to V for a long time		pb 3@a!				–ghllag-	ghllag	ghllag	-ҳльаг-
–ghllagu-	-5k]fue-	very (be ~ V)		iyataghllaguunga ‘I am very hungry’; iyataghllawaa? ‘is he very hungry?’ (from iyatagh- ‘to be hungry’ via *iyataghllagua); qepghaghllaguuq ‘he is very busy’ (from qepghagh- ‘to work’); Aghhutanga tamaaghhan neqekrangllaghllaguftuq estugaghmeggnun, … ‘Every day he was busy baking bread for their store, …’ (from neqekrangllagh- ‘to bake (make) bread’) (SIVUQ. NANGAGH. 2:214)	busy V-ing												to be very V; to be busy V-ing		< -ghllag-(ng)u-				–ghllagu-	ghllagu	ghllagu	-ҳльагу-
–ghllak	-5k]fr	big N		nunaghllak ‘big land’ (from nuna ‘land’); tumeghllaget ‘big footprints’ or ‘lots of footprints’ (from tumae ‘footprint’); angyaghllak ‘big boat’ (from angyaq ‘boat’); atkugllak ‘big parka’ (from atkuk ‘parka’); qiighwllalguuq ‘he has a lot of grey hair’ (from qiiqw ‘grey hair’); kiiwhllagek ‘a little river’ (from kiikw ‘river’); uughqaghtaghllak ‘big sea swell’ (from uughqaghtaq ‘sea swell’)	lots of N	large N											big N; large N; lots of N		pb PE 3@a!				–ghllak	ghllak	ghllak	-ҳльак
–ghnaggaq*	-4yf[f2	big N		iqallugnaggaq ‘big fish’ (from iqalluk ‘fish’); aghnalqwaaghnaggaq ‘big old woman’ (from aghnalqaaq ‘old woman’)													big N						–ghnaggaq*	ghnaggaq	ghnaggaq	-ӷнахақ
@–ghpagte-	-5gf[ns-	rapidly V 		igughpagtuq or igughpagtaa ‘it jelled rapidly’ (from igugh- ‘to jell’); nighughpagtuq ‘it twinkled’ (from nighugh- ‘to be bright’); suughpagtuq ‘it got dark (liquid)’ (from suugh- ‘to be murky’); puugpagtuq ‘it burst into flames’ (from unidentified base, but cf. puugpak ‘match’); nengpagtuq ‘he became suddenly angry, jerked the rope, yanked on something; it suddenly tightened’ and nengsugpagtuq ‘he strained a muscle’ (both irregularly from nenge- ‘to stretch, tighten’); drops  base-final te: nuugpagtuq ‘it made a sudden move’ (from nuugte- ‘to move’); amqeghpagtuq ‘it froze suddenly’ (lexicalized, from amqeghte- ‘to bite’); igughpagtuq ‘it jelled rapidly’ (from igugh(te)- ‘to jell)	suddenly V	major way (V in a ~)											to V rapidly, suddenly or in a major way		< -ghpak-?-				@–ghpagte-	ghpagte	ghpagte	-ҳпахты-
–ghpak	-5gfr	big N		marginally productive; the following all more or less lexicalized: angyaghpak ‘ship’ (from angyaq ‘boat’); miksagaghpak ‘four-year old bull walrus’ (from miksagaq ‘bull walrus’); pagunghaghpak ‘prune’ (from pagunghaq ‘crowberry’); yugpak ‘huge person, giant’ (from yu<u>k ‘person’); awataghpak ‘sealskin float’ (from *avataq proto-Eskimo ‘float’); mayeraaghpak ‘giant’ (from mayae ‘heap’ and -raaq ‘strange’); qawaagpak ‘eagle; legendary large bird that can carry off people’ (from qawaak ‘bird’); cf. -pag-/-vag-	huge N	large N											big N; huge N; large N		pb PE va!(-)				–ghpak	ghpak	ghpak	-ҳпак
-ghpe-				see –gpe-													not V-ing						–gpe-	ghpe	ghpe	
–ghqe-1	-52s-¡	divide into N groups		used with numerical words; maalghughqut ‘they divided into two groups’ (from maalghuk ‘two’); Aqelqaghniighet apeghiineghmeggni enraq kalleghteghllaneghmeggni pingayughqelluteng. ‘After the competitive events with the guests there were big, exciting ball games in three different places.’ (from pingayut ‘three’) (SIVUQ. NANGAGH. 2:138)													to divide into N groups		pb PY q0-				–ghqe-1	ghqe1	ghqe1	-ҳқы-1
–ghqe-2	-52s-™	apply N to		probably non-productive; meghqaa ‘he put water on it’ (from meq ‘water’); mesiighqaa ‘he put oil on it, made it oily’ (from mesiiq ‘oil)													to apply N to		pb PE 3q0-				–ghqe-2	ghqe2	ghqe2	-ҳқы-2
–ghqe-3	-52s-£	cause to V		probably non-productive; aqnighqaa ‘he caused her to be in pain, hurt her’ (from aqnigh- ‘to be in pain’); kakeggmillaghqaa ‘he gave her a nosebleed’ (from kakegte- ‘to have a nosebleed’ and an intervening postbase); neghqaa ‘he fed it’ (from negh<e>- ‘to eat’)									more examples needed				to cause to V		pb PE 3q0-				–ghqe-3	ghqe3	ghqe3	-ҳқы-3
–ghqu-	-52s-	go to get N or to get something from N		angyaghquuq ‘he went to get a boat’ (from angyaq ‘boat’); meghquuq ‘he went to get water’ (from meq ‘water’); atkugkuuq ‘he went to get a parka’ (from atkuk ‘parka’); repaghquuq ‘he went to get a hammer’ (from repa ‘hammer’); siqlugaghquuq ‘he went to get something from the underground meat cellar’ (from siqlugaq ‘underground meat cellar’)	get (go to ~ N or to ~ something from N)												to go to get N or to get something from N						–ghqu-	ghqu	ghqu	-ҳқы-
–ghquute-	-528ns-	encounter N		used with weather nouns and some others:  qanighquutuq ‘he encountered snow’ (from qanik ‘snow’); meghquutuq ‘he fell into the water’ (from meq ‘water’); allaghquutuq ‘he missed the spot he aimed at; he arrived earlier than planned’ (from alla ‘(an)other’); the ghq of this postbase stays as is even with bases ending in g; eslallughquutuq ‘he encountered rain’ (from eslalluk ‘rain’)	come when there is N												to encounter N; to come where there is N						–ghquute-	ghqute	ghqxte	-ҳқӯты-
–ghraag-	-4h6u-	do some V-ing		angyaghraagtuq ‘he is doing some hunting by boat’ (from angyagh- ‘to hunt by boat’); meghraagtuq ‘it is crystal clear’ (from meq ‘water’); ghevraagtuq ‘it is pale’ (irregularly from gheve- ‘to fade’); aqlaghaghraagtuq ‘it is somewhat cold’ (from aqlagha ‘cold air’); aastughraagtuq ‘it is getting wider’ (from aastu- ‘to be wide’); ighivaghraagtuq ‘twilight is gradually approaching’ (from ighivagh- ‘for night to fall’); iqallugteghraagtuq ‘he gradually got a lot of fish’ (from iqallugte- ‘to catch fish’); kiiveghraagtuq ‘it abated’ (from kiive- ‘to settle’); mamlegraagtuq ‘it is partly dark’ (from mamleg- ‘to be dark’; pinighraagtuq ‘it is somewhat better’ (from pinigh- ‘to be good’); ghevraag- ‘to be somewhat pale’ (irregularly from gheve- ‘to fade’) Taawa liigikeghraagaghput nani kiyaghtekaatangi yuget, qavngaghtaatangillu. ‘We kind of know now where the people lived and when they lived too.’ (SIVUQ. NANGAGH. 1:4)	somewhat V or like N	gradually V							check to see if this postbase is -ghraag- or -ghraagte-; we have it the second way with mamleg-; there may be two postbases here	get V-er			to do some V-ing; to be somewhat V or like N; to gradually V; to get V-er; to be somewhat V						–ghraag-	ghrag	ghrxg	-ӷрāг-
–ghrug-	-4heu-	big old one V-s		Anipa tengeghrugumalghii ima. ‘Then poor ol’ owl took off in flight.’ (from tenge- ‘to fly off’) (AKIINGQWAGH. 2)	poor old one V-s								needs more examples				big old one V-s		pb PE 9u!				–ghrug-	ghrug	ghrug	-ӷруг-
–ghrugllak	-4he[k]fr	big N		mangteghaghrugllak ‘big house’, mangteghaghrugllaget ‘very big houses’ (from mangteghaq ‘house’)	large N												big N; large N		< -ghruk-ghllak				–ghrugllak	ghrugllak	ghrugllak	-ӷрухльак
–ghruk	-4her	big old N		angyaghruk ‘big old boat’ (from angyaq ‘boat’; yugruk ‘big old person’ (from yu<u>k ‘person’); = -ruk	poor old N												big old N; poor old N		pb PE 9u!				–ghruk	ghruk	ghruk	-ӷрук
