CSY word (Lat. orth.)	CSY word (Cyrillic)	CSY word (Cyr. orth.)	combined English gloss	Eng. gloss 1	Eng. gloss 2	Eng. gloss 3	Eng. gloss 4	ex'ples, etym, etc.	combined Russian gloss	derived forms	queries, etc.	PE (PY) source	Sib. source code	symantic code	alphabetization field A	alphabetization field B
aflu	афлью	fak]/	the span from one thing to another (as from one hour to the next); thing between two others (as a child born between two others)	span from one thing to another (as from one hour to the next)	between (thing ~ two others)			Estamat aflut piyugutkanka. ‘I walked for four hours.’ (SLI JR. DICT. 132)		> aflaaq					aflu	aflu
aflute-	афльюты-	fak]/ns-	to feel sorry for; to sympathize with	feel sorry for	sympathize with			Chukotkan (R)					CK Rub 110		aflute-	aflute-
aafqugh-	āфқуӷ-	6a2e4-	to set things aside; to divide things into groups	set things aside	divide things into groups							< aafte-qugh-			afqugh-	xfqugh-
afsengaghpak	афсыңаҳпак	facs3f5gfr	muskrat (Ondata zibethicus); beaver (Castor canadensis)	muskrat	beaver	Ondata zibethicus	Castor canadensis	Chukotkan				< afsengaq-ghpak			afsengaghpak	afsengaghpak
afsengaghqe-	афсыңаҳқы-	facs3f52s-	for there to be the squeaking sound of a mouse	squeak, like a mouse				afsengaghquq ‘there’s a squeaking, mouse sound’				< afsengaq-?-	SLI Cur. Res. Man. 157		afsengaghqe-	afsengaghqe-
afsengaq*	афсыңақ	facs3f2	vole (Microtus sp. ); locally mouse; also slang for lump of dried nasal mucus	vole	“mouse” (vole)	mucus (slang for lump of dried nasal ~)	Microtus sp.			> aflengaghpak		PE av0l&a3			afsengaq*	afsengaq*
afta-	афта-	fanf-	to cut up game; to butcher game; to have surgery (additional Chukotkan meaning)	cut up game	butcher game	surgery (have ~)		aftaaq ‘he butchered an animal’; aftaa ‘he butchered it’ /				< afte-?-			afta-	afta-
afte-	афты-	fans-						root; > afta-, aafte-; cf. avek							afte-	afte-
aafte-	āфты-	6ans-	to separate from others	separate from others				aaftuq ‘he separated himself from the others’; aaftaa ‘he separated it from the others, took it from where it was, put it aside’ / aafutut ‘they separated from each other’; = afte-		aafqugh-		PE av0t- (under PE av0!-)			afte-	xfte-
aag-	āг-	6u-	to take a side trip	side trip (take a ~)				aagtuq ‘he made a side trip’; aagaa ‘he went over to it while on his way to somewhere else’ / aagvik ‘the place to which one makes a side trip’; Sangwaa taakwagun aagaqegkan, tuqutaqigu. ‘If something happens to come by  this way, kill it.’ (UNGAZ. UNGIP. 62)		aaghqaghte-, aaghqutaq, aaghqutaate-, aagute-		PE a!0-			ag-	xg-
aga	ага	fuf	away; gone; there	away	gone	there		particle; this is the interjectional form of the demo. adverb aga(ni) from demo. pronoun aagna(q.v.); Amaaghllak aga estunaquq. ‘There he goes, the wolf is about to slide.’  (AYUM. UNGIP. I:7)				PE dem. ag-			aga	aga
aaga-	āга-	6uf-	to swing	swing				aagaaq ‘it swung’ / aagastaa ‘he made it swing’, ‘he pushed her on the swing’; Aagastaqa qevulliighaatekestaamaan aagalghiinaakun. ‘I began to push her on the swing a little more with each back and forth swinging motion.’ (SULUWET 16)							aga-	xga-
agagh-	агаӷ-	fuf4-	hanging	hanging				postural root; agaghtuq ‘it got hung, snagged’; agaghtaa ‘he hung it up’; agaghngaaq ‘it is hanging’; agaghfik ‘place to hang things’		> agaghfikutaq, agaqraq		PE a!(!)a(3)-			agagh-	agagh-
agaghfikutaq	агаҳфикутақ	fuf5abrenf2	clothes hanger; clothespin; peg for hanging things; hook for hanging things	hanger (clothes ~)	clothespin	peg for hanging things	hook for hanging things					< agagh-te1-vik-qutaq			agaghfikutaq	agaghfikutaq
agaghtiiraagh-	агаҳтӣрāӷ-	fuf5n7h64-	to hang; to be hanging	hang	hanging (be ~)			Chukotkan (R)	dbctnm			< agagh-?- 	Rub. 21		agaghtiragh-	agaghtxrxgh-
agaghtusiq	агаҳтусиқ	fuf5necb2	clothes hanger; clothespin; peg for hanging things; hook for hanging things	hanger (clothes ~)	clothespin	peg for hanging things	hook for hanging things					< agagh-te1-(u)siq			agaghtusiq	agaghtusiq
agaghugllaka	агаӷухльяка	fuf4e[k]zrf	oh, what a pity!	oh, what a pity!	pity (oh, what a ~!)			particle							agaghugllaka	agaghugllaka
agalghu-	агалӷу-	fufk4e-	to stagger	stagger				agalghuuq ‘he staggered’ / agalghwaaghtuq ‘he keeps staggering as he walks’							agalghu-	agalghu-
agalqutaq	агальқутақ	fufk]2enf2	peg for hanging things; hook for hanging things	peg for hanging things	hook for hanging things							< agagh-qutaq			agalqutaq	agalqutaq
agam	агам	fufv	okay, that’s enough	okay	enough (that’s ~)			Chukotkan (R); particle	ye. ye ljdjkmyj		check whether used on SLI		Rub. 21		agam	agam
agangsitagh-	агаңситаӷ-	fuf3cbnf4-	to stay away	stay away				agangsitaghtuq ‘he, or it, it staying away’ / kayut saamkut agangsitaghtat nalleq? ‘why are the fish down there staying away?’					VK’s dict. revs.		agangsitagh-	agangsitagh-
agaqraq	агақшақ	fuf2if2	peg for hanging things; hook for hanging things	peg for hanging things	hook for hanging things							< agagh-qraq			agaqraq	agaqraq
agaten	агатын	fufnsy	must be the case; unenthusiastic	must be the case	unenthusiastic			particle (perhaps two different particles);  agaten aghuliighaqluni igleghtaquq ‘he must be stopping once in a while as he travels’; qeghalguteyeng ataasiq agaten ayuqaqaa ‘they aren’t very enthusiastic about one of their fellow workers’; Ataasit agaten amaallgaat esghaqaghaqanka, pamakaghtat. ‘I’d see an occasional wolfskin [ruff] which must have come from Siberia.’ (SIVUQ. NANGAGH. 1:114)				from Chukchi ?	VK’s dict. revs.	x	agaten	agaten
agatu	агату	fufne	type of kelp (Agarum cribrosum)	kelp type	Agarum cribrosum								Aynganga’s article in “Beringia”; SLI Cur. Res. Man. 61		agatu	agatu
agaavik	агāвик	fu6dbr	double hook used to fasten caught walrus to side of boat	double hook used to fasten caught walrus to side of boat				Chukotkan (R)					CK Rub 20		agavik	agxvik
agenriqe-	агынриқы-	fusyhb2s-	to think carefully about something	think carefully about something				agenriquq ‘he thought carefully’; agenriqaqulluku pegnem ayveq qaakaghput ‘after we thought carefully about it we finally pulled the walrus out’					VK’s dict. revs.		agenriqe-	agenriqe-
agepsugh- 	агыпсюӷ-	fusgc/4-	to be smoky	smoky (be ~)				agepsughtuq ‘it is smoky’ / agepsughtaa ‘it is getting smoky’							agepsugh- 	agepsugh- 
agepsuq	агыпсюқ	fusgc/2	smoke; steam	smoke	steam			agepsughtuuq ‘there's a lot of smoke’; agepsughtaaghtuq ‘it has smoke coming out of it’				PE apyu3			agepsuq	agepsuq
agesngughte-	агысңьуҳты-	fusc3]e5ns-	to kill instantly (especally by hitting on bridge of nose); to knock out (?)	kill instantly	kill by hitting on bridge of nose	knock out		agesngughtaa ‘he killed it instantly’/ ayveq agesngughlluku tuqutaa ‘he killed the walrus instantly (by hitting it on the bridge of the nose)’			check; Rub. gives agesngughtaqaa, but I can’t understand the Russian gloss		A&W 3, Rub. 26, CK V & E 145		agesngughte-	agesngughte-
agesta	агыста	fuscnf	sh-sh; hush!	sh-sh	hush!			Chukotkan (R); particle					CK Rub 26		agesta	agesta
aageste- 	āгысты-	6uscns-	to prolong one's action for a long time; to moan long and mournfully 	prolong one's action for a long time	moan long and mournfully 			aagestuq ‘he let out a long moan or kept his action going for a long time’ / qinuyulghii aagestaataghtuq unulqusiq elngaatall ‘the sick one let out long painful cries throughout the night’; mekelghiighhaq aagestaataghtuq qiyatkelluku ‘the little boy prolonged his wailing as he cried’; qepghallghegni aaghestaak yugem taawa ‘oh my, the man is keeping at his work for as long as he can’							ageste- 	xgeste- 
aaggagh-	āхаӷ-	6[f4-	to sharpen; to whet	sharpen	whet					aaggaata		PE a!i!-			aggagh-	xggagh-
aaggaatae	āхāтаы	6[6nfs	whetstone; sharpening stone	whetstone	sharpening stone							PE a!i!(a3)un (under PE a!i!-); < aaggagh-(u)n			aggatae	xggxtae
agghi	агӷи	fu4b	conference	conference											agghi	agghi
agghi-	агӷи-	fu4b-	to confer; to decide	confer	decide			agghiiq ‘he decided’/ agghiit ‘they are conferring, deciding on something’; agghitkaa ‘he decided concerning it, figured it out’; agghiiq igleghhnaluni ‘he decided to go’		> agghista					agghi-	agghi-
agghista	агӷиста	fu4bcnf	commander	commander								< agghi-(s)ta			agghista	agghista
agghiyugniqe-	агӷиюгниқы-	fu4b/uyb2s-	to be spoiled; to be obstinate	spoiled (be ~)	obstinate (be ~)			cf. agghi; mekelghiighhaq agghiyugniquq ghhuuteghngaatni wata an’gighnaluni ‘the little boy tried to have his way and stay outdoors even though it was cold’							agghiyugniqe-	agghiyugniqe-
aaggnaqe-	āхньақы-	6[y]f2s-	to use sparingly; to economize	use sparingly	economize	sparingly (use ~)			ærjyjvbnm xnj-k>		check; looks like a nice base that somehow got omitted -- does CK know this word?		Rub. 112		aggnaqe-	xggnaqe-
agha	аӷа	f4f	amulet; medicine; aspirin	amulet	medicine	aspirin				> aghaligh-, aghallegtaq, aghavraq ?		PE a39a			agha	agha
aghaligh-	аӷалиӷ-	f4fkb4-	to treat with medicine; to medicate; to put on an amulet	treat with medicine	medicate	put on an amulet		aghalightuq ‘he took medicine or put on an amulet’; aghalighaa ‘he gave her medicine or put an amulet on her’/				< agha-ligh-			aghaligh-	aghaligh-
aghallegtaq	аӷальыхтақ	f4fk]s[nf2	doctor	doctor								< agha-llek-?			aghallegtaq	aghallegtaq
aghanghuuraq	аӷанӷӯрақ	f4fy48hf2	amulet attached on to belt or clothing;  medicinal plant sewn on to animal skin and attached to one’s belt	amulet attached on to belt or clothing	medicinal plant sewn on to animal skin and attached to one’s belt			Chukotkan (R)				< agha-?	CK Rub 26		aghanghuraq	aghanghxraq
aghavaghllak	аӷаваҳльяк	f4fdf5k]zr	clear weather	clear weather									SLI Cur. Man. 21		aghavaghllak	aghavaghllak
aghavraq	аӷаврақ	f4fdhf2	Alaska poppy (Papaver alaskanum)	poppy (Alaska ~)	Papaver alaskanum							< agha-?			aghavraq	aghavraq
aghelqute-	аӷыльқуты-	f4sk]2ens-	to move a little (of something heavy and/or tight); to budge	move a little (of something heavy and/or tight)	budge			aghelqutuq ‘it moved a little, it budged’; aghelqutaa ‘he moved it a little, he budged it’/							aghelqute-	aghelqute-
aghenqigneq	аӷынқигнық	f4sy2buys2	right-hand side	right-hand side				aghenqigneghmun ‘to the right’				PE a30nqi!-	CK V & E 118, CK (terminalis)		aghenqigneq	aghenqigneq
aghevestaaghaq*	аӷывыстāҳақ	f4sdscn65f2	soft thing; person who is weak-willed and easily influenced	soft thing	person who is willed and easily influenced			qenu meghmelnguq aghevestaaghhaaguq ‘the new ice in the ocean is soft’				< aghevestaaq-(gh)aq			aghevestaghaq*	aghevestxghaq*
aghevestaaq	аӷывыстāқ	f4sdscn62	soft thing; person who is weak-willed and easily influenced	soft thing	person who is weak-willed and easily influenced			anigu qaga aghevestaapiguuq ifkanghhaaluni ‘the newly fallen snow out there is very soft’; aghevestaaq ugharra piyullginnapigtuq ‘the soft marsh is hard to walk on’		aghevestaaghhaq*			A&W 3		aghevestaq	aghevestxq
aaghhaghte-	āҳаҳты-	65f5ns-	to move a little by force; to budge; to change one's mind; for there to be an earthquake	move a little by force	change one's mind	budge	earthquake (there is an ~)	aaghhaghtuq ‘it budged, he changed his mind’; aaghhaghtaa ‘he budged it, he changed her mind’ / nuna aaghhaghtuq ‘the ground moved, there was an earthquake’; nguutnguga alangqughiitama aaghhaghluku ilefkaghaghsimaaqa ‘I made the stone in my ring come loose and fall out’; aaghhaghsaghqaghhaanghilnguq yuuk qenwatlu taawa malikruutesimaat ‘they finally persuaded that very stubborn man to go along with their ideas’				< aaghte-aghte-			aghhaghte-	xghhaghte-
aaghhe-	āҳы-	65s-	to move freely (as a rope being pulled, or a person's behavior); to slacken	move freely (as a rope being pulled, or a person's behavior)	slacken			aaghhuq ‘it (rope) is running free; he (person) is not being restrained nor restraining himself’ / aaghhestaa ‘he is letting it run free’; aaghhestaa uyiiq aghveq awatmun igleghsan ‘he let the whale rope flow out as the whale moved away’; aaghhuq yuuk taana qepghaqamini avelghaqiinaghluki ilani piyukellghinaghmitun ‘that man is getting away with doing whatever he wishes with complete disregard for his co-workers’; aaghhestaat taana taghnughhaq elngaatall ‘they certainly are giving that child free rein’		aaghheghneq					aghhe-	xghhe-
aaghheghneq	āҳыӷнық	65s4ys2	person that can easily be persuaded	persuaded (person that can easily be ~)								< aaghhe-?-neq2	CK Rub 118		aghheghneq	xghheghneq
aghhmagte-	аҳмьахты-	f5v]f[ns-	to take all; to use all	take all	use all	all (take or use ~)		aghhmagtaa ‘he took or used all of it’ /				PY a3(ca3)ma!- (under PE a3ca3-)			aghhmagte-	aghhmagte-
aghhmeghneq	аҳмьыӷнық	f5v]s4ys2	firmness; sturdiness	firmness	sturdiness			aghhmeghneqegtaq ‘a sturdy skin or piece of clothing’							aghhmeghneq	aghhmeghneq
aaghhneghlliqe-	āҳньыҳльиқы-	65y]s5k]b2s-	to be stubborn	stubborn (be ~)				Tawaten ataasimi aghneghmi Kiiluuq aaghhneghlliqumalghii esnamun samavek elqwaaghyaghnaluni.’ Then one day Kiiluuq being stubborn went down to the shore to gather seaweed.’ (KIILUUQ 3)				< aaghhneghhlluk-liqe-			aghhneghlliqe-	xghhneghlliqe-
aaghhneghlluk	āҳньыҳльюк	65y]s5k]/r	one who is hard to convince; stubborn person; skeptical person	stubborn person	hard to convince (one who is ~)	skeptical person				aaghhneghlliqe-		< aaghte2-neghlluk			aghhneghlluk	xghhneghlluk
aghhunneghagu	аҳуньыӷагу	f5ey]s4fue	every day	every day				particle (actually inflected form); literally, ‘whenever day comes upon it’;  = eghhunneghagu			check, but looks okay, explained as: unaaminghagu, which VK translates as ‘when it is the next day’	< aghte-(u)te-contemporative	A&W 19		aghhunneghagu	aghhunneghagu
aaghhutagh-	āҳутаӷ-	65enf4-	to move by crawling over thin ice	move by crawling over thin ice				piyaalghii iikusati aaghhutameng aghviimalghii ‘the man who was hunting by foot crossed by drawling  over the thing ice when the cake of ice he was on broke off from the main ice				< aaghwe-?-	VK’s dict. revs.		aghhutagh-	xghhutagh-
aghhutanga tamaghhaan	аҳутаңа тамахāн	f5enf3f nfvf[6y	every day	every day				literally, ‘its becoming day, every one’; Aghhutanga tamaghhaan takwaaqiit. ‘Every day they would check it.’ (PIYAA. 14)		xxxt		< aghte-(u)te-possessed absolutive + tamaghhagh-quantifier/qualifier			aghhutanga tamaghhan	aghhutanga tamaghhxn
aghhutkun	аҳуткун	f5enrey	at dawn	dawn (at ~)				adverbial particle; aghhutkun esla naavuq ‘the weather got bad at dawn’				< aghte-(u)n-vialis	VK		aghhutkun	aghhutkun
aaghhwe-	āҳӱы-	651s-	to crawl	crawl				aaghhuq or aaghhwuq ‘he crawled’; aaghhwaa ‘he crawled over it’ / aaghhwaaghtuq ‘he keeps crawling’; Repall atanga aaghhweregaghmeng aanumalghii, llangaqa pingayuneng ighukelghii. ‘The father went out crawling, looking like he had three legs.’ (UNGIPAGHAGH. 72)				PE a9u3-			aghhwe-	xghhwe-
aghi-	аӷи-	f4b-	to be wet	wet (be ~)				aghiiq or aghii ‘it got wet’ / cf. aghilluk		> aghinaq, aghipa, aghisigh-, aghitqe-		PE a3i(t)-			aghi-	aghi-
aghiknaq	аӷикньақ	f4bry]f2	“prickly” sculpin	sculpin, “prickly”	“prickly” sculpin			exact species undetermined					SLI Cur. Man. 53		aghiknaq	aghiknaq
aghilluk	аӷильюк	f4bk]/r	skin mitten; glove	skin mitten	mitten (skin ~)	glove		Chukotkan; cf. aghi-				PY-S a3in (under PE a3i(t)-)			aghilluk	aghilluk
aghinaq	аӷинақ	f4byf2	moisture outdoors; wet weather	moisture outdoors	wet weather							< aghi-naq; PE a3ina3- (under PE a3i(t)-)			aghinaq	aghinaq
aghinghwaaq	аӷинӷӱāқ	f4by4162	small bag of sealskin holding certain articles used to try to ensure good whale hunting	bag, small, of sealskin holding certain articles used to try to ensure good whale hunting								PE a33i(t)na3			aghinghwaq	aghinghwxq
aghinqagh-	аӷинқаӷ-	f4by2f4-	to wet	wet (be ~)				Chukotkan (V&E)	yfvfxbdfn				CK V & E 41		aghinqagh-	aghinqagh-
aghipa	аӷипа	f4bgf	wetness; moisture	wetness	moisture					> aghipate-, aghipsaate-		PE a3ipa-; < aghi-?-			aghipa	aghipa
aghipate-	аӷипаты-	f4bgfns-	to be wet; to be raw	wet (be ~)	raw (be ~)			aghipatuq ‘it is wet’, ‘it is raw’ /				 < aghipa-(u)te-			aghipate-	aghipate-
aghipsaate-	аӷипся̄ты-	f4bgc9ns-	to be partly wet; to be partially raw	wet (be partly ~)	raw (be partially ~)			aghipsaalnguq ‘partially wet or raw thing’				< aghipa-?-			aghipsate-	aghipsxte-
aghisigh-	аӷисиӷ-	f4bcb4-	to soak	soak				aghisightuq ‘it is being soaked or he is letting himself get wet’; aghisighaa ‘he is soaking it’ /				< aghi-sigh-			aghisigh-	aghisigh-
aghitqe-	аӷитқы-	f4bn2s-	to get very wet	wet (get very ~)				aghitquq ‘he or it got very wet’; aghitqaa ‘he got it very wet’ /				< aghi-?-			aghitqe-	aghitqe-
aghiva-	аӷива-	f4bdf-	to quarrel (of women); to bawl out (by women)	quarrel (of women)	bawl out (by women)			aghivaaq ‘she is quarreling with someone, bawling out someone’; aghivaa ‘she is quarreling with her’ / aghivatuk ‘they (two women) are quarreling’				PE a3iva-			aghiva-	aghiva-
aghliigh-	аӷлӣӷ-	f4k74-	overwhelmed	overwhelmed				emotional root; aghliighyugtuq ‘he feels overwhelmed by the tasks facing him’; aghliighyukaa ‘he feels overwhelmed by it’; aghliighnaghtuq ‘it is overwhelming’				PE a3li(C)-			aghligh-	aghlxgh-
aaghlu	āӷлю	64k/	fireball of some sort coming down from mountains (perhaps meteor or comet)	meteor	comet	fireball of some sort coming down from mountains		traditionally thought to be connected with a creature dwelling in the rocks behind Gambell; the color is said to be prophetic					comet meaning is from Linda Badten; fireball meaning from Darlene Orr		aghlu	xghlu
aghmig-	аӷмиг-	f4vbu-	to wash one's face	wash one's face				aghmigtuq ‘he washed his (own) face’; aghmigaa ‘he washed his (another's) face’ /		> aghmigusiq, aghmigusik		PE 03mi!-			aghmig-	aghmig-
aghmigusiq	аӷмигусиқ	f4vbuecb2	washcloth; face soap; washbasin	washcloth	soap (face ~)	washbasin		used in the dual, aghmigusik, for one washbasin				< aghmig-(u)siq			aghmigusiq	aghmigusiq
aghnagan	аӷнаган	f4yfufy	hurry up	hurry up				particle; aghnagan uyuq emta ‘hurry up you, knowing how you are’				from Chukchi ?		x	aghnagan	aghnagan
aghnagh-	аӷнаӷ-	f4yf4-	to wear a dress	wear a dress	dress (wear a ~)			aghnaghluni ‘wearing a dress’; direct verbalization of aghnaq ‘woman’				PE a3na3			aghnagh-	aghnagh-
aghnaghaghhaq*	аӷнаӷаҳақ	f4yf4f5f2	little girl	little girl	girl, little				ltdjxrf			< aghnaghaq-ghhaq	CK V & E 74; CK		aghnaghaghhaq*	aghnaghaghhaq*
Aghnaghaghyaget	Аӷнаӷаӷьягыт	F4yf4f4mzusn	Pleides constellation	Pleides constellation				literally, ‘group of girls’				< aghnaghaq-yagae-plural			Aghnaghaghyaget	Aghnaghaghyaget
Aghnaghaak	Аӷнаӷāк	F4yf46r	Aghnak River on St. Lawrence Is.	Aghnak River on St. Lawrence Is.				see Map 4 in Appendices				< aghnaghaq-dual			Aghnaghak	Aghnaghxk
aghnaghaq*	аӷнаӷақ	f4yf4f2	girl	girl								PY a3na3aq (under PE a3na3); < aghnaq-ghaq			aghnaghaq*	aghnaghaq*
aghnaghniite-	аӷнаӷниты-	f4yf4ybns-	to be ugly (a girl)	ugly (be ~ (of a girl))					ytrhfcbdfz (;tyobyf. ltdeirf)			< aghnaq-?-	CK V & E 128, Rub 31 CK		aghnaghnite-	aghnaghnxte-
aghnaghpallaghte-	аӷнаҳпальяҳты-	f4yf5gfk]z5ns-	to become an older woman	woman (become an older ~)						> aghnaghpallaghtekaq		< aghnaq-?-			aghnaghpallaghte-	aghnaghpallaghte-
aghnaghpallaghtekaq	аӷнаҳпальяҳтыкақ	f4yf5gfk]z5nsrf2	older woman	woman, older								< aghnaghpallaghte-(g)kaq			aghnaghpallaghtekaq	aghnaghpallaghtekaq
aghnaghqaq	аӷнаҳқақ	f4yf52f2	wife-to-be; female to be included in a group; dress material	wife-to-be	female to be included in a group	dress material						< aghnaq-kaq			aghnaghqaq	aghnaghqaq
aghnaaghte-	аӷнāҳты-	f4y65ns-	to have one's first menses	menses (have one’s first ~)								< aghnaq-(ng)ughte-			aghnaghte-	aghnxghte-
aghnaghuq	аӷнаӷуқ	f4yf4e2	edible seashore life resembling a mouse in appearance (Boltenia ovifera); “sea onion”	edible seashore life resembling a mouse in appearance	Boltenia ovifera	sea creature, edible, found on beaches and resembling a mouse in appearance	“sea onion”	cf. aghnaq				PY a3na3uq			aghnaghuq	aghnaghuq
aghnalgun	аӷналгун	f4yfkuey	mother's sister's child; parallel cousin on mother's side	cousin (parallel ~ on mother's side)								PY a3nal!un (under PE a3na3); < aghnaq-lgun			aghnalgun	aghnalgun
aghnalqwaaq	аӷнальқӱāқ	f4yfk]2162	old woman	woman, old	old woman					aghnalqwaavregaq		PE a3nalqu(C)a3 (under PE a3na3); < aghnaq-?-			aghnalqwaq	aghnalqwxq
aghnalqwaavregaq	аӷнальқӱāврыгақ	f4yfk]216dhsuf2	old senile woman	old senile woman	senile old woman			Chukotkan (V&E)	lhz[kfz cnfhe[f			< aghnalqwaaq-vlaaq	CK V & E 74		aghnalqwavregaq	aghnalqwxvregaq
aghnaaneq	аӷнāнық	f4y6ys2	female bird, fish, or seal or other animal; state of being female	female bird, fish, or seal or other animal	female (state of being ~)							< aghnaq-(ng)u-neq2			aghnaneq	aghnxneq
aghnangllagh-	аӷнаңльяӷ-	f4yf3k]z4-	to make a dress; to ask to marry (of an older man asking a woman on behalf of a younger man)	make a dress	ask to marry (of an older man asking a woman on behalf of a younger man)			Aghnaghaat igaghvigmi aghnangllaatut. ‘The girls made dresses in school.’ (SLI JR. DICT. 11); Yuuk aghnangllaghiiq ighneghminun. ‘The man asked that a certain girl should be the wife for his son.’ (SLI JR. DICT. 11)				< aghnaq-ngllagh-			aghnangllagh-	aghnangllagh-
aghnapari	аӷнапари	f4yfgfhb	older girl; young woman	older girl	young woman			Chukotkan (R)				< aghnaq-?	CK Rub 32		aghnapari	aghnapari
aghnapesqighte-	аӷнапысқиҳты-	f4yfgsc2b5ns-	to sit (in woman’s traditional style)	sit (in woman’s traditional style)				sitting by bending one leg resting it on the floor while the other leg is also bent but upright with the foot flat on the floor; aghnapesqighlluteng aghnat avegtughaqut neghuunneghmeggmi ‘sitting woman-style the women are cutting food at meal time’				< aghnaq-?	A&W 3		aghnapesqighte-	aghnapesqighte-
aghnaq	аӷнақ	f4yf2	woman; female human; dress (when used in dual)	woman	female human	dress				> aghnaghaq, aghnaghpallaghte-, aghnaghqaq, aghnaaghte-, aghnalgun, aghnalqwaaq, aghnaaneq, aghnangllagh-, aghnaqe-, aghnasalek, aghnaasiq		PE a3na3			aghnaq	aghnaq
aghnaqe-	аӷнақы-	f4yf2s-	to be proud in a way appropriate for a woman	proud (be ~ in a way appropriate for a woman)				aghnaquq ‘she is proud’/				< aghnaq-?-			aghnaqe-	aghnaqe-
aghnaqemsighte-	аӷнақымсиҳты-	f4yf2svcb5ns-	to sit (in woman’s traditional style)	sit (in woman’s traditional style)				sitting by bending one leg resting it on the floor while the other leg is also bent but upright with the foot flat on the floor				< aghnaq-?-	VK’s notes to A&W 3		aghnaqemsighte-	aghnaqemsighte-
aghnasalek	аӷнасялык	f4yfczksr	female walrus; cow walrus	female walrus	walrus female	cow walrus						< aghnaq-?-			aghnasalek	aghnasalek
aghnasiq	аӷнасиқ	f4yfcb2	“sea cabbage”	“sea cabbage”				Chukotkan (R); exact identification undetermined				< aghnaq-? (?)	CK Rub 32		aghnasiq	aghnasiq
aghnaasiq	аӷнāсиқ	f4y6cb2	effeminate man; homosexual male	effeminate man	homosexual male			Kiyaghneghem Ataneghpagullghani nekaghqiitut: … allaniighet, aghnaasit, … ‘In God’s Kingdom there is no room for: … adulterers, the effeminate , …’ (1 Corinthians 6.9)				< aghnaq-(ng)u-(u)siq			aghnasiq	aghnxsiq
aghneghet	аӷныӷыт	f4ys4sn	dawn; dusk; twilight	dawn	dusk	twilight		Chukotkan (R)				< aghneq-plural	CK Rub 32		aghneghet	aghneghet
